geoid,name,pctrent30_23,pctowned30_23,class
"25001010100",101,0.5938566553,0.2285911602,
"25001010206",102.06,0.2579617834,0.3645962733,
"25001010208",102.08,0.2573099415,0.2176870748,
"25001010304",103.04,0.2068965517,0.295970696,
"25001010306",103.06,0.5791505792,0.3361629881,
"25001010400",104,0.4577777778,0.2603342128,
"25001010500",105,0.5144230769,0.3844241922,
"25001010600",106,0.5837563452,0.4336592179,
"25001010700",107,0.3905325444,0.2576896787,
"25001010800",108,0.5379310345,0.3033826638,
"25001010900",109,0.5899280576,0.2036745407,
"25001011002",110.02,0.8181818182,0.2962736714,
"25001011100",111,0.2725225225,0.2603143418,
"25001011200",112,0.4857142857,0.343832021,
"25001011300",113,0.2463768116,0.1955193483,
"25001011400",114,0.7137546468,0.2411807055,
"25001011500",115,0.5643776824,0.2247011952,
"25001011600",116,0.380952381,0.4204152249,
"25001011700",117,0.444,0.218710493,
"25001011801",118.01,0.141509434,0.2637362637,
"25001011802",118.02,0.6022727273,0.1549295775,
"25001012001",120.01,0.7753303965,0.2801467217,
"25001012002",120.02,0.6153846154,0.3116232465,
"25001012101",121.01,0.8106995885,0.3374712644,
"25001012102",121.02,0.6611018364,0.3908675799,
"25001012200",122,0.2736318408,0.3639889197,
"25001012502",125.02,0.7298288509,0.3565217391,
"25001012601",126.01,0.9112149533,0.3831242873,
"25001012602",126.02,0.6540948276,0.3142345568,
"25001012700",127,0.5162094763,0.2660069849,
"25001012800",128,0.3715846995,0.338362069,
"25001012900",129,0.1836065574,0.2310126582,
"25001013002",130.02,0.5222222222,0.3528505393,
"25001013100",131,0.6732026144,0.3106159895,
"25001013200",132,0.2736318408,0.2426260704,
"25001013300",133,0.3070175439,0.2962003454,
"25001013400",134,0.288,0.3585526316,
"25001013500",135,0.5769230769,0.2064097673,
"25001013600",136,0.3228070175,0.3243518048,
"25001013700",137,0.3860045147,0.2340574632,
"25001013800",138,0.2914046122,0.2702394527,
"25001013900",139,0.6131907308,0.2892857143,
"25001014002",140.02,0.7919320594,0.1778202677,
